Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2014,"7         ",Female,13,Right-Handed,146,25,140,2,Car,"20 ",1.084,49,Other,743,743,27,91,460,1000,25,"Same length",85,100,"Ring finger",March,Fall,No,No,Pizza/Pasta,Water,Music,7,4,4,"Yes - other","Internet chat or instant messaging",300,300,0,,,,,,,,,,,,,,,,,,
USA,MN,2016,"11        ",Male,18,Right-Handed,176,28,178,1,Car,25,.342,46,"Hockey (Ice)",100,100,0,0,1000,1000,28,"Same length",102,105,"Ring finger",July,Summer,Yes,No,Pizza/Pasta,Water,English,7,10,4,"Yes - broadband connection",Other,3,4,10,0,5,5,12,5,6,4,40,25,0,2,"Very little","Undergraduate degree","Heavy metal",Invisibility,Rich,"Musician or singer","Wildlife, animals"
USA,MN,2025,"12        ",Male,18,Right-Handed,164,26,174.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2023,"12        ",Female,19,Right-Handed,160,22.5,157,1,Car,4,.249,40,Soccer,321,144,600,600,620,813,22.5,"Same length",95,96,"Ring finger",March,Spring,Yes,No,"No favorite",Coffee,Art,6,8,5,"Yes - broadband connection","In person",10,10,2,1,25,16,2,0,5,7,4,8,0,10,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,"Religious figure",Religious
USA,MN,2020,"9         ",Female,14,Left-Handed,168,22.86,,1,Bus,36,0.662,60,Gymnastics,1000,995,996.5,990,500,899,22.86,"Same length",,,"Index finger",August,Summer,Yes,No,"No favorite",Water,Languages,7,9,7,"Yes - other","Cell phone",50,65,1.5,10,10,6,30,0,9,3,24/7,2,0,7,Some,"Some college","Rap/Hip hop",Invisibility,Happy,"Musician or singer","Education/Youth development"
USA,MN,2014,"11        ",Female,15,Right-Handed,160,27,95,1,Car,13,.445,37,Dancing,800,750,700,700,700,700,27,"Same length",60,55,"Index finger",March,Summer,Yes,No,Pizza/Pasta,Water,Art,7,11,5,"Yes - other","Text messaging",50,50,5,1,1,1,11,0,1,2,1,1,0,1,Some,"Graduate degree",,,,,
USA,MN,2014,"11        ",Female,16,Right-Handed,160,22,155,1,Car,15,.577,42,Running/Jogging,300,600,200,200,700,900,22,"Same length",80,72,"Index finger",February,Fall,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",5,11,3,"Yes - broadband connection","Cell phone",100,90,12,0,3,7,12,0,40,5,50,5,0,0,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Education/Youth development"
USA,MN,2019,"11        ",Female,16,Right-Handed,173cm,27,168,2,Car,20,.47,52,Swimming,1000,1000,503,342,27,348,26,"Right foot",80,75,"Index finger",November,Summer,Yes,No,Poultry,Water,"Social studies","8 1/2",9-12,4,"Yes - other","In person",3,5,20,5,5,3,1,5,30,10,30,1,25,1,Some,"Undergraduate degree",Pop,Fly,Healthy,Relative,Environment
USA,MN,2018,"9         ",Male,15,Left-Handed,56,20,20,1,Bus,10,52,30,None,,,,,,,20,"Same length",12,7,"Index finger",April,Summer,No,No,Meat,Water,Science,10,3,5,"No internet connection","Cell phone",30,45,6,8,1,10,2,4,24,24,24,0,3,5,"Very little","Some college","Rap/Hip hop",Invisibility,Rich,"Musician or singer",Health
USA,MN,2025,"9         ",Male,15,Right-Handed,177,26,181,1,Walk,3,0.302,45,Golf,1000,647,822,765,267,647,27,"Left foot",105,110,"Ring finger",May,Summer,No,No,Meat,Water,"Physical education",8,10,4,"Yes - other","In person",15,15,45,1,0,15,20,9,15,2,20,1,0,5,"A lot","Some college",Country,Fly,Rich,Relative,"Wildlife, animals"
